species,canonicalName,NT,Qld,WA,ChI,NSW,SA,Vic,Tas,ACT,NI,LHI,MI,HI,MDI,CoI,CSI,AR,CaI,Match
Argophyllum palumense A.R.Bean & P.I.Forst.,Argophyllum palumense,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Argophyllum verae P.I.Forst.,Argophyllum verae,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Corokia carpodetoides (F.Muell.) L.S.Sm.,Corokia carpodetoides,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,No
Achnophora tatei F.Muell.,Achnophora tatei,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Acomis bella A.E.Holland,Acomis bella,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Acomis kakadu Paul G.Wilson,Acomis kakadu,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Acomis macra F.Muell.,Acomis macra,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Actinobole drummondianum P.S.Short,Actinobole drummondianum,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Acunniana procumbens (DC.) Orchard,Acunniana procumbens,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Adenostemma lavenia (L.) Kuntze,Adenostemma lavenia,native,native,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Adenostemma macrophyllum (Blume) DC.,Adenostemma macrophyllum,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
