scientificName,dataResourceName,basisOfRecord,Match
Eremophila galeata,iNaturalist Australia,HUMAN_OBSERVATION,No
Eremophila gibbosa,iNaturalist Australia,HUMAN_OBSERVATION,No
Eremophila glutinosa,iNaturalist Australia,HUMAN_OBSERVATION,No
Eremophila homoplastica,iNaturalist Australia,HUMAN_OBSERVATION,No
Eremophila hughesii,iNaturalist Australia,HUMAN_OBSERVATION,No
Eremophila incisa,iNaturalist Australia,HUMAN_OBSERVATION,No
Eremophila jucunda,iNaturalist Australia,HUMAN_OBSERVATION,No
Eremophila linearis,iNaturalist Australia,HUMAN_OBSERVATION,No
Eremophila macmillaniana,iNaturalist Australia,HUMAN_OBSERVATION,No
Eremophila maitlandii,iNaturalist Australia,HUMAN_OBSERVATION,No
Eremophila malacoides,iNaturalist Australia,HUMAN_OBSERVATION,No
Eremophila margarethae,iNaturalist Australia,HUMAN_OBSERVATION,No
Eremophila obovata,iNaturalist Australia,HUMAN_OBSERVATION,No
Eremophila parvifolia,iNaturalist Australia,HUMAN_OBSERVATION,No
Eremophila phillipsii,iNaturalist Australia,HUMAN_OBSERVATION,No
Eremophila platythamnos,iNaturalist Australia,HUMAN_OBSERVATION,No
Eremophila praecox,iNaturalist Australia,HUMAN_OBSERVATION,No
Eremophila punctata,iNaturalist Australia,HUMAN_OBSERVATION,No
Eremophila pustulata,iNaturalist Australia,HUMAN_OBSERVATION,No
Eremophila rugosa,iNaturalist Australia,HUMAN_OBSERVATION,No
Eremophila spectabilis,iNaturalist Australia,HUMAN_OBSERVATION,No
Eremophila spinescens,iNaturalist Australia,HUMAN_OBSERVATION,No
Eremophila strongylophylla,iNaturalist Australia,HUMAN_OBSERVATION,No
Eremophila subangustifolia,iNaturalist Australia,HUMAN_OBSERVATION,Yes
Euphrasia semipicta,iNaturalist Australia,HUMAN_OBSERVATION,No
Frankenia ambita,iNaturalist Australia,HUMAN_OBSERVATION,No
Frankenia cupularis,iNaturalist Australia,HUMAN_OBSERVATION,No
Frankenia hispidula,iNaturalist Australia,HUMAN_OBSERVATION,No
Glossostigma diandrum,iNaturalist Australia,HUMAN_OBSERVATION,No
Glossostigma drummondii,iNaturalist Australia,HUMAN_OBSERVATION,No
Gomphrena conica,iNaturalist Australia,HUMAN_OBSERVATION,Yes
Gomphrena connata,iNaturalist Australia,HUMAN_OBSERVATION,No
Gomphrena humilis,iNaturalist Australia,HUMAN_OBSERVATION,No
Gomphrena leontopodioides,iNaturalist Australia,HUMAN_OBSERVATION,Yes
Gomphrena parviflora,iNaturalist Australia,HUMAN_OBSERVATION,No
Gomphrena tenella,iNaturalist Australia,HUMAN_OBSERVATION,Yes
Gunniopsis divisa,iNaturalist Australia,HUMAN_OBSERVATION,Yes
Gunniopsis intermedia,iNaturalist Australia,HUMAN_OBSERVATION,No
Gunniopsis propinqua,iNaturalist Australia,HUMAN_OBSERVATION,Yes
Gunniopsis rodwayi,iNaturalist Australia,HUMAN_OBSERVATION,No
Ipomoea gracilis,iNaturalist Australia,HUMAN_OBSERVATION,No
Ipomoea littoralis,iNaturalist Australia,HUMAN_OBSERVATION,No
Jacquemontia pannosa,iNaturalist Australia,HUMAN_OBSERVATION,No
Jasminum dallachii,iNaturalist Australia,HUMAN_OBSERVATION,No
Jasminum suavissimum,iNaturalist Australia,HUMAN_OBSERVATION,No
Josephinia eugeniae,iNaturalist Australia,HUMAN_OBSERVATION,No
Levieria acuminata,iNaturalist Australia,HUMAN_OBSERVATION,No
Ligustrum australianum,iNaturalist Australia,HUMAN_OBSERVATION,No
Limosella curdieana,iNaturalist Australia,HUMAN_OBSERVATION,No
Lindernia thyridostoma,iNaturalist Australia,HUMAN_OBSERVATION,Yes
Livistona eastonii,iNaturalist Australia,HUMAN_OBSERVATION,No
Livistona nasmophila,iNaturalist Australia,HUMAN_OBSERVATION,No
Macarthuria complanata,iNaturalist Australia,HUMAN_OBSERVATION,Yes
Maireana cheelii,iNaturalist Australia,HUMAN_OBSERVATION,No
Maireana dichoptera,iNaturalist Australia,HUMAN_OBSERVATION,Yes
Maireana eriosphaera,iNaturalist Australia,HUMAN_OBSERVATION,Yes
Maireana integra,iNaturalist Australia,HUMAN_OBSERVATION,No
Maireana platycarpa,iNaturalist Australia,HUMAN_OBSERVATION,No
Maireana schistocarpa,iNaturalist Australia,HUMAN_OBSERVATION,No
Muehlenbeckia tuggeranong,iNaturalist Australia,HUMAN_OBSERVATION,No
Nicotiana benthamiana,iNaturalist Australia,HUMAN_OBSERVATION,No
Nicotiana gascoynica,iNaturalist Australia,HUMAN_OBSERVATION,Yes
Nicotiana heterantha,iNaturalist Australia,HUMAN_OBSERVATION,No
Nicotiana simulans,iNaturalist Australia,HUMAN_OBSERVATION,No
Omegandra kanisii,iNaturalist Australia,HUMAN_OBSERVATION,Yes
Operculina turpethum,iNaturalist Australia,HUMAN_OBSERVATION,No
Osteocarpum pentapterum,iNaturalist Australia,HUMAN_OBSERVATION,Yes
Plantago daltonii,iNaturalist Australia,HUMAN_OBSERVATION,No
