species,APC_name,NT,Qld,WA,ChI,NSW,SA,Vic,Tas,ACT,NI,LHI,MI,HI,MDI,CoI,CSI,AR,CaI,Genus,family,Original_Year,Growth_Habit
Pimelodendron amboinicum Hassk.,Pimelodendron amboinicum,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Pimelodendron,Euphorbiaceae,1855,tree
Pseudanthus micranthus Benth.,Pseudanthus micranthus,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Pseudanthus,Euphorbiaceae,1873,shrub
Ricinocarpos brevis R.J.F.Hend. & Mollemans,Ricinocarpos brevis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Ricinocarpos,Euphorbiaceae,2007,shrub
Ricinocarpos crispatus Halford & R.J.F.Hend.,Ricinocarpos crispatus,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Ricinocarpos,Euphorbiaceae,2007,shrub
Ricinocarpos graniticus Halford & R.J.F.Hend.,Ricinocarpos graniticus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Ricinocarpos,Euphorbiaceae,2007,shrub
Ricinocarpos marginatus Benth.,Ricinocarpos marginatus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Ricinocarpos,Euphorbiaceae,1873,shrub
Ricinocarpos oliganthus Halford & R.J.F.Hend.,Ricinocarpos oliganthus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Ricinocarpos,Euphorbiaceae,2007,shrub
Ricinocarpos pilifer Halford & R.J.F.Hend.,Ricinocarpos pilifer,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Ricinocarpos,Euphorbiaceae,2007,shrub
Ricinocarpos psilocladus (Müll.Arg.) Benth.,Ricinocarpos psilocladus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Ricinocarpos,Euphorbiaceae,1864,shrub
Ricinocarpos rosmarinifolius Benth.,Ricinocarpos rosmarinifolius,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Ricinocarpos,Euphorbiaceae,1873,shrub
Ricinocarpos ruminatus Halford & R.J.F.Hend.,Ricinocarpos ruminatus,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Ricinocarpos,Euphorbiaceae,2007,shrub
Ricinocarpos stylosus Diels,Ricinocarpos stylosus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Ricinocarpos,Euphorbiaceae,1904,shrub
Ricinocarpos verrucosus Halford & R.J.F.Hend.,Ricinocarpos verrucosus,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Ricinocarpos,Euphorbiaceae,2007,shrub
Shonia carinata Halford & R.J.F.Hend.,Shonia carinata,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Shonia,Euphorbiaceae,2005,shrub
Shonia territorialis Halford & R.J.F.Hend.,Shonia territorialis,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Shonia,Euphorbiaceae,2005,shrub
Acacia abbatiana Pedley,Acacia abbatiana,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Acacia,Fabaceae,1999,shrub
Acacia adjutrices Maslin,Acacia adjutrices,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Acacia,Fabaceae,1999,shrub
Acacia amentifera F.Muell.,Acacia amentifera,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Acacia,Fabaceae,1859,shrub
Acacia anasilla A.S.George,Acacia anasilla,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Acacia,Fabaceae,1999,shrub
"Acacia anastomosa Maslin, M.D.Barrett & R.L.Barrett",Acacia anastomosa,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Acacia,Fabaceae,2013,shrub
